InvoiceID,Number,Date,CustomerRef,BrokerRef,Creator,PayerType,InvoicePrice,InvoiceAdditionAmount,InvoiceReductionAmount,InvoiceNetPrice,InvoiceStauts,CreationDate,SalesArea,RegionalDivision,SalesAreaNumber,RegionalDivisionNumber,InvoiceStatusNumber
62,26155,2022-02-06,5,1,8959,1,95000000,8550000,0,103550000,Registred by Accounting,2022-02-27 16:51:59.880,تک فروشی,بروجرد,0,18,1
64,26169,2022-03-02,18806,3,8947,1,17500000000,1575000000,0,19075000000,Registred by Accounting,2022-03-02 08:23:02.367,تک فروشی,تهران,0,29,1
67,26167,2022-02-22,13704,3,8947,1,20000000,1800000,0,21800000,Registred by Accounting,2022-03-02 08:50:21.620,تک فروشی,تهران,0,29,1
74,26170,2022-03-02,128,4,8974,1,26184800000,2356632000,0,28541432000,Registred by Accounting,2022-03-02 16:08:37.687,تک فروشی,تهران,0,29,1
75,26171,2022-03-05,21,1,8959,1,100000000,9000000,0,109000000,Registred by Accounting,2022-03-05 12:30:37.883,تک فروشی,مریوان,0,76,1
77,26172,2022-03-05,15694,1,8959,1,268400000,24156000,0,292556000,Registred by Accounting,2022-03-05 12:53:48.627,نمایندگان,علی آباد کتول,3,59,1
78,26173,2022-03-05,14449,1,8959,1,721000000,64890000,0,785890000,Registred by Accounting,2022-03-05 12:55:46.107,نمایندگان,کرمان,3,87,1
80,26174,2022-03-05,15602,3,8947,1,420000000,37800000,0,457800000,Registred by Accounting,2022-03-05 15:25:51.683,تک فروشی,یزد,0,93,1
81,26175,2022-03-05,149,1,8959,1,1800000000,162000000,0,1962000000,Registred by Accounting,2022-03-05 15:27:39.943,تک فروشی,ارومیه,0,4,1
82,26176,2022-03-05,22847,1,8959,1,390000000,35100000,0,425100000,Registred by Accounting,2022-03-05 15:30:13.527,تک فروشی,یاسوج,0,92,1
83,26177,2022-03-05,13029,1,8959,1,149800000,13482000,0,163282000,Registred by Accounting,2022-03-05 15:51:31.393,نمایندگان,اصفهان,3,11,1
84,26178,2022-03-05,15724,1,8959,1,560000000,50400000,0,610400000,Registred by Accounting,2022-03-05 15:55:41.373,تک فروشی,ایلام,0,14,1
85,26179,2022-03-05,15724,1,8959,1,560000000,50400000,0,610400000,Registred by Accounting,2022-03-05 15:56:31.460,تک فروشی,ایلام,0,14,1
91,26168,2022-02-26,21739,3,8947,1,148500000,13365000,0,161865000,Registred by Accounting,2022-03-06 09:04:05.630,تک فروشی,تهران,0,29,1
92,26154,2022-02-06,13015,3,8947,1,15967600000,1437084000,0,17404684000,Registred by Accounting,2022-03-06 09:05:27.480,تک فروشی,تهران,0,29,1
93,26160,2022-02-07,13832,3,8947,1,52500000,4725000,0,57225000,Registred by Accounting,2022-03-06 09:07:21.700,مناقصه ای,تهران,2,29,1
94,26138,2022-02-02,13832,3,8947,1,31350000000,2821500000,0,34171500000,Registred by Accounting,2022-03-06 09:08:50.610,مناقصه ای,تهران,2,29,1
95,26153,2022-02-06,21700,3,8947,1,1176000000,105840000,0,1281840000,Registred by Accounting,2022-03-06 09:11:04.643,تک فروشی,تهران,0,29,1
