InvoiceItemID,InvoiceRef,ProductRef,Quantity,Fee,Price,CreationDate
191,62,613,1,95000000,95000000,2022-02-27 16:51:59.880
191,62,613,1,95000000,95000000,2022-02-27 16:51:59.880
196,64,937,4,4375000000,17500000000,2022-03-02 08:23:02.367
196,64,937,4,4375000000,17500000000,2022-03-02 08:23:02.367
203,67,22545,1,20000000,20000000,2022-03-02 08:50:21.620
203,67,22545,1,20000000,20000000,2022-03-02 08:50:21.620
238,74,157,8,2100000000,16800000000,2022-03-02 16:08:37.687
238,74,157,8,2100000000,16800000000,2022-03-02 16:08:37.687
239,74,18105,2,2673000000,5346000000,2022-03-02 16:08:37.687
239,74,18105,2,2673000000,5346000000,2022-03-02 16:08:37.687
240,74,827,50,55000000,2750000000,2022-03-02 16:08:37.687
240,74,827,50,55000000,2750000000,2022-03-02 16:08:37.687
241,74,521,2,241400000,482800000,2022-03-02 16:08:37.687
241,74,521,2,241400000,482800000,2022-03-02 16:08:37.687
242,74,22548,62,13000000,806000000,2022-03-02 16:08:37.687
242,74,22548,62,13000000,806000000,2022-03-02 16:08:37.687
248,75,824,4,25000000,100000000,2022-03-05 12:30:37.883
248,75,824,4,25000000,100000000,2022-03-05 12:30:37.883
254,77,647,1,268400000,268400000,2022-03-05 12:53:48.627
254,77,647,1,268400000,268400000,2022-03-05 12:53:48.627
254,77,647,1,268400000,268400000,2022-03-05 12:53:48.627
254,77,647,1,268400000,268400000,2022-03-05 12:53:48.627
256,78,625,7,103000000,721000000,2022-03-05 12:55:46.107
256,78,625,7,103000000,721000000,2022-03-05 12:55:46.107
256,78,625,7,103000000,721000000,2022-03-05 12:55:46.107
259,80,228,3,35000000,105000000,2022-03-05 15:25:51.683
259,80,228,3,35000000,105000000,2022-03-05 15:25:51.683
259,80,228,3,35000000,105000000,2022-03-05 15:25:51.683
259,80,228,3,35000000,105000000,2022-03-05 15:25:51.683
260,80,434,3,105000000,315000000,2022-03-05 15:25:51.683
260,80,434,3,105000000,315000000,2022-03-05 15:25:51.683
260,80,434,3,105000000,315000000,2022-03-05 15:25:51.683
260,80,434,3,105000000,315000000,2022-03-05 15:25:51.683
262,81,825,50,36000000,1800000000,2022-03-05 15:27:39.943
262,81,825,50,36000000,1800000000,2022-03-05 15:27:39.943
264,82,825,8,37000000,296000000,2022-03-05 15:30:13.527
264,82,825,8,37000000,296000000,2022-03-05 15:30:13.527
264,82,825,8,37000000,296000000,2022-03-05 15:30:13.527
265,82,826,2,47000000,94000000,2022-03-05 15:30:13.527
265,82,826,2,47000000,94000000,2022-03-05 15:30:13.527
265,82,826,2,47000000,94000000,2022-03-05 15:30:13.527
271,83,631,1,149800000,149800000,2022-03-05 15:51:31.393
271,83,631,1,149800000,149800000,2022-03-05 15:51:31.393
273,84,827,10,56000000,560000000,2022-03-05 15:55:41.373
273,84,827,10,56000000,560000000,2022-03-05 15:55:41.373
275,85,827,10,56000000,560000000,2022-03-05 15:56:31.460
275,85,827,10,56000000,560000000,2022-03-05 15:56:31.460
297,91,620,1,148500000,148500000,2022-03-06 09:04:05.630
297,91,620,1,148500000,148500000,2022-03-06 09:04:05.630
297,91,620,1,148500000,148500000,2022-03-06 09:04:05.630
299,92,97,16,817975000,13087600000,2022-03-06 09:05:27.480
299,92,97,16,817975000,13087600000,2022-03-06 09:05:27.480
300,92,48,96,30000000,2880000000,2022-03-06 09:05:27.480
300,92,48,96,30000000,2880000000,2022-03-06 09:05:27.480
304,93,22546,1,7500000,7500000,2022-03-06 09:07:21.700
304,93,22546,1,7500000,7500000,2022-03-06 09:07:21.700
305,93,22547,1,45000000,45000000,2022-03-06 09:07:21.700
305,93,22547,1,45000000,45000000,2022-03-06 09:07:21.700
307,94,520,2,250000000,500000000,2022-03-06 09:08:50.610
307,94,520,2,250000000,500000000,2022-03-06 09:08:50.610
308,94,937,9,2950000000,26550000000,2022-03-06 09:08:50.610
308,94,937,9,2950000000,26550000000,2022-03-06 09:08:50.610
309,94,928,2,2150000000,4300000000,2022-03-06 09:08:50.610
309,94,928,2,2150000000,4300000000,2022-03-06 09:08:50.610
311,95,863,112,10500000,1176000000,2022-03-06 09:11:04.643
311,95,863,112,10500000,1176000000,2022-03-06 09:11:04.643
314,96,662,1,664000000,664000000,2022-03-06 09:24:56.257
314,96,662,1,664000000,664000000,2022-03-06 09:24:56.257
315,96,255,1,151000000,151000000,2022-03-06 09:24:56.257
315,96,255,1,151000000,151000000,2022-03-06 09:24:56.257
316,96,866,20,25000000,500000000,2022-03-06 09:24:56.257
316,96,866,20,25000000,500000000,2022-03-06 09:24:56.257
331,98,865,16,18500000,296000000,2022-03-06 09:39:19.530
331,98,865,16,18500000,296000000,2022-03-06 09:39:19.530
333,99,865,20,18500000,370000000,2022-03-06 09:45:49.683
333,99,865,20,18500000,370000000,2022-03-06 09:45:49.683
